,a,id,customer_index,date,quantity,monetary
411,411,1669,148,1997-08-05,3,30.54
412,412,1669,148,1997-08-19,1,12.25
413,413,1669,148,1997-08-19,1,17.7
414,414,1669,148,1997-08-25,3,17.37
415,415,1669,148,1997-08-26,2,26.73
416,416,1669,148,1997-09-11,1,12.99
417,417,1669,148,1997-09-17,8,43.92
418,418,1669,148,1997-09-29,1,11.49
419,419,1669,148,1997-10-06,2,24.48
420,420,1669,148,1997-10-28,1,20.99
421,421,1669,148,1997-12-09,2,27.98
422,422,1669,148,1998-03-10,1,11.19
423,423,1669,148,1998-03-10,2,25.98
424,424,1669,148,1998-03-13,2,33.98
425,425,1686,149,1997-01-07,1,13.97
426,426,1686,149,1997-12-09,2,25.98
427,427,1686,149,1998-01-30,2,28.48
428,428,1686,149,1998-02-20,3,35.47
429,429,1686,149,1998-04-19,1,21.22
430,430,1686,149,1998-04-19,1,12.99
431,431,1686,149,1998-04-28,1,15.99
432,432,1696,150,1997-01-07,4,46.48
433,433,1696,150,1997-01-22,3,35.31
434,434,1696,150,1997-02-03,2,26.14
435,435,1696,150,1997-07-31,2,28.93
436,436,1696,150,1997-08-26,2,23.74
437,437,1696,150,1997-11-14,2,22.48
438,438,1696,150,1997-11-24,1,12.99
439,439,1705,151,1997-01-07,1,11.77
440,440,1705,151,1997-02-23,4,59.84
441,441,1705,151,1997-07-14,1,14.79
442,442,1705,151,1997-09-08,1,10.77
443,443,1705,151,1997-09-11,1,14.37
444,444,1712,152,1997-01-07,1,30.97
445,445,1733,153,1997-01-07,1,11.77
446,446,1739,154,1997-01-07,1,15.36
447,447,1739,154,1997-01-27,1,16.7
448,448,1753,155,1997-01-07,1,0.0
449,449,1758,156,1997-01-07,1,11.77
450,450,1758,156,1997-02-21,2,34.32
451,451,1760,157,1997-01-07,1,11.99
452,452,1760,157,1997-01-10,1,9.97
453,453,1760,157,1997-01-14,1,13.97
454,454,1760,157,1997-01-19,3,46.08
455,455,1760,157,1997-01-22,1,5.99
456,456,1760,157,1997-01-29,2,27.94
457,457,1760,157,1997-02-03,2,23.98
458,458,1760,157,1997-02-15,4,55.47
459,459,1760,157,1997-03-14,1,14.99
460,460,1760,157,1997-03-20,1,14.96
461,461,1760,157,1997-04-02,1,14.96
462,462,1760,157,1997-04-04,5,72.44
463,463,1760,157,1997-04-08,2,27.94
464,464,1760,157,1997-04-18,1,14.96
465,465,1760,157,1997-04-18,1,11.97
466,466,1760,157,1997-04-20,1,14.96
467,467,1760,157,1997-05-04,1,12.77
468,468,1760,157,1997-05-08,1,14.96
469,469,1760,157,1997-05-15,1,12.77
470,470,1760,157,1997-06-02,3,41.69
471,471,1760,157,1997-06-27,2,29.92
472,472,1760,157,1997-07-06,1,15.36
473,473,1760,157,1997-07-22,1,15.96
474,474,1760,157,1997-07-31,1,14.96
475,475,1760,157,1997-08-03,1,14.96
476,476,1760,157,1997-08-20,2,29.92
477,477,1760,157,1997-09-06,1,15.36
478,478,1760,157,1997-09-11,3,39.97
479,479,1760,157,1997-09-16,2,25.98
480,480,1760,157,1997-09-27,4,57.96
481,481,1760,157,1997-09-28,4,48.46
482,482,1760,157,1997-10-07,1,12.49
483,483,1760,157,1997-10-25,2,25.98
484,484,1760,157,1997-10-25,1,13.99
485,485,1760,157,1997-11-02,1,12.99
486,486,1760,157,1997-11-23,1,13.99
487,487,1760,157,1997-11-25,2,29.98
488,488,1760,157,1997-11-25,1,7.49
489,489,1760,157,1997-12-17,1,12.99
490,490,1760,157,1997-12-18,2,25.98
491,491,1760,157,1997-12-24,1,12.99
492,492,1760,157,1998-01-02,1,12.99
493,493,1760,157,1998-01-27,1,14.99
494,494,1760,157,1998-03-10,2,42.98
495,495,1760,157,1998-04-12,1,11.88
496,496,1760,157,1998-05-17,3,60.45
497,497,1760,157,1998-06-11,4,37.96
498,498,1783,158,1997-01-08,1,14.37
499,499,1792,159,1997-01-08,2,30.36
500,500,1792,159,1997-01-09,4,59.06
501,501,1792,159,1997-01-28,3,50.97
502,502,1792,159,1997-06-30,2,29.73
503,503,1809,160,1997-01-08,2,31.54
504,504,1825,161,1997-01-08,4,63.93
505,505,1825,161,1998-06-09,1,14.49
506,506,1828,162,1997-01-08,2,26.14
507,507,1828,162,1997-01-22,3,46.28
508,508,1839,163,1997-01-08,1,73.3
509,509,1845,164,1997-01-08,1,17.7
510,510,1845,164,1997-01-25,10,139.7
511,511,1845,164,1997-03-25,6,78.22
512,512,1845,164,1997-04-14,4,52.68
513,513,1845,164,1997-06-24,3,40.7
514,514,1845,164,1997-07-14,5,69.63
515,515,1845,164,1997-07-15,2,26.74
516,516,1845,164,1997-07-22,4,57.45
517,517,1845,164,1997-08-25,6,72.82
518,518,1845,164,1997-09-04,4,49.48
519,519,1845,164,1997-09-24,3,36.97
520,520,1845,164,1997-10-22,5,72.95
521,521,1845,164,1998-01-06,2,24.48
522,522,1845,164,1998-01-07,4,107.96
523,523,1845,164,1998-02-05,2,29.06
524,524,1845,164,1998-03-24,1,8.49
525,525,1845,164,1998-04-06,2,26.48
526,526,1858,165,1997-01-08,2,24.98
527,527,1858,165,1997-01-08,2,28.74
528,528,1877,166,1997-01-08,3,49.08
529,529,1877,166,1998-01-29,4,51.96
530,530,1890,167,1997-01-08,1,12.49
531,531,1890,167,1997-02-05,4,49.96
532,532,1890,167,1997-03-10,2,13.58
533,533,1890,167,1997-03-15,1,12.79
534,534,1890,167,1997-04-16,2,24.98
535,535,1890,167,1997-05-14,7,100.93
536,536,1890,167,1997-05-15,3,32.3
537,537,1890,167,1997-05-16,2,11.58
538,538,1890,167,1997-05-19,2,20.76
539,539,1890,167,1997-05-20,3,28.81
540,540,1890,167,1997-06-06,1,5.78
541,541,1890,167,1997-06-24,1,12.25
542,542,1890,167,1997-07-23,1,4.99
543,543,1890,167,1997-07-24,1,12.25
544,544,1890,167,1997-10-14,4,49.96
545,545,1890,167,1997-10-20,1,11.49
546,546,1890,167,1997-10-24,2,24.98
547,547,1890,167,1997-11-07,4,35.96
548,548,1890,167,1997-11-18,1,12.49
549,549,1890,167,1997-11-20,3,47.97
550,550,1890,167,1997-12-01,2,16.98
551,551,1890,167,1998-01-02,2,53.48
552,552,1890,167,1998-01-06,4,63.96
553,553,1890,167,1998-01-11,5,105.95
554,554,1890,167,1998-01-27,5,66.95
555,555,1890,167,1998-02-09,2,24.98
556,556,1890,167,1998-02-18,1,11.02
557,557,1890,167,1998-03-20,1,5.99
558,558,1890,167,1998-03-28,3,40.97
559,559,1890,167,1998-05-13,3,41.97
560,560,1894,168,1997-01-08,1,14.37
561,561,1908,169,1997-01-08,2,25.77
562,562,1919,170,1997-01-08,1,18.99
563,563,1919,170,1997-09-27,1,14.49
564,564,1919,170,1997-11-29,1,13.99
565,565,1919,170,1998-04-11,1,14.49
566,566,1928,171,1997-01-08,1,64.99
567,567,1944,172,1997-01-08,1,51.37
568,568,1956,173,1997-01-08,8,93.57
569,569,1971,174,1997-01-08,1,18.36
570,570,1985,175,1997-01-08,1,6.79
571,571,1402,176,1997-01-09,10,166.3
572,572,1763,177,1997-01-09,1,12.49
573,573,1893,178,1997-01-09,5,63.29
574,574,1893,178,1997-01-17,6,70.62
575,575,1893,178,1997-03-28,2,38.93
576,576,1893,178,1997-05-19,3,41.31
577,577,1893,178,1997-06-29,1,11.77
578,578,1893,178,1997-08-10,1,17.7
579,579,1893,178,1997-08-27,2,30.72
580,580,1893,178,1997-11-12,3,45.47
581,581,1893,178,1997-11-27,2,25.98
582,582,1893,178,1998-01-13,2,25.98
583,583,1893,178,1998-01-16,2,25.98
584,584,1893,178,1998-02-21,2,23.98
585,585,1893,178,1998-02-28,2,25.98
586,586,1893,178,1998-03-13,2,25.98
587,587,1893,178,1998-05-07,1,15.49
588,588,1991,179,1997-01-09,4,47.08
589,589,1991,179,1997-02-03,3,29.97
590,590,1991,179,1997-02-09,4,68.45
591,591,1991,179,1997-03-02,2,55.96
592,592,1991,179,1997-03-24,5,62.93
593,593,1991,179,1997-04-16,3,40.7
594,594,1991,179,1997-06-21,3,47.28
595,595,1991,179,1997-07-13,2,31.76
596,596,1991,179,1997-09-19,4,56.96
597,597,1991,179,1997-11-23,1,9.99
598,598,1991,179,1997-11-23,2,98.98
599,599,1991,179,1997-11-30,1,39.49
600,600,1991,179,1997-12-27,3,38.97
601,601,1991,179,1998-01-19,5,70.47
602,602,1991,179,1998-02-22,4,56.05
603,603,1991,179,1998-04-07,3,43.36
604,604,1991,179,1998-04-08,1,21.99
605,605,2005,180,1997-01-09,1,17.96
606,606,2030,181,1997-01-09,1,15.76
607,607,2049,182,1997-01-09,1,12.97
608,608,2053,183,1997-01-09,1,15.36
609,609,2053,183,1997-02-13,1,15.76
610,610,2053,183,1997-11-14,2,20.98
611,611,2053,183,1998-04-21,2,16.98
612,612,2053,183,1998-05-08,1,14.99
613,613,2071,184,1997-01-09,1,8.77
614,614,2072,185,1997-01-09,3,27.55
615,615,2072,185,1997-01-11,2,27.94
616,616,2072,185,1997-01-18,2,29.78
617,617,2072,185,1997-02-23,1,14.96
618,618,2072,185,1997-09-19,3,62.97
619,619,2072,185,1997-11-05,2,10.98
620,620,2072,185,1998-06-12,1,20.99
621,621,2087,186,1997-01-09,1,14.96
622,622,2099,187,1997-01-09,1,13.97
623,623,2099,187,1997-02-07,1,13.77
624,624,2099,187,1997-03-05,1,9.97
625,625,2099,187,1998-02-20,1,12.49
626,626,2102,188,1997-01-09,1,3.99
627,627,2102,188,1997-03-20,2,23.76
628,628,2102,188,1997-04-01,3,44.69
629,629,2102,188,1997-06-06,3,45.51
630,630,2102,188,1997-12-23,3,41.47
631,631,2104,189,1997-01-09,4,51.86
632,632,2104,189,1997-02-05,1,11.77
633,633,2104,189,1997-02-17,2,29.13
634,634,2104,189,1997-02-20,3,44.49
635,635,2109,190,1997-01-09,1,28.99
636,636,2127,191,1997-01-09,2,27.94
637,637,2142,192,1997-01-09,2,30.54
638,638,2161,193,1997-01-09,3,52.63
639,639,2180,194,1997-01-09,1,16.99
640,640,2194,195,1997-01-09,1,14.3
641,641,2194,195,1997-02-10,1,22.97
642,642,2194,195,1997-05-09,2,16.56
643,643,2194,195,1997-05-27,2,48.94
